subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,180,4.269,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.285,2.534,0.799
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,4.004,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.246,2.234,0.872
1,male,90,2.525,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.232,0.734,1.008
1,male,90,2.924,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.232,0.884,1.157
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,45,2.343,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.139,0.734,0.819
1,male,135,2.951,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.225,1.184,0.991
1,male,90,3.461,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.166,1.934,0.71
1,male,180,4.803,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.226,2.834,1.092
1,male,180,4.596,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.3,2.834,0.811
1,male,0,1.646,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,90,2.395,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.192,0.734,0.917
1,male,90,3.243,same,same,1,0,0,model,[0 0 1],0.0,1,0.551,0.205,1.184,1.254
1,male,135,2.514,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.229,0.734,1.0
1,male,135,4.172,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.248,2.084,1.188
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,135,5.433,same,same,1,0,0,model,[0 1 0],0.0,2,0.551,0.178,3.884,0.72
1,male,0,1.646,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,90,4.171,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.206,2.234,1.08
1,male,135,3.886,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.239,1.484,1.562
1,male,135,5.839,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.239,4.184,0.765
1,male,180,3.156,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.288,1.184,1.133
1,male,45,2.433,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.15,0.884,0.748
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,45,2.7,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.16,1.184,0.706
1,male,45,2.678,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.147,1.184,0.696
1,male,180,3.687,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.291,1.484,1.261
1,male,180,2.963,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.321,0.884,1.207
1,male,135,2.537,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.236,0.734,1.016
1,male,45,1.976,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.155,0.434,0.835
1,male,45,2.486,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.156,0.734,0.945
1,male,45,2.055,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.134,0.584,0.786
1,male,90,2.41,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.197,0.734,0.928
1,male,180,3.854,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.304,2.084,0.814
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,45,2.505,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.16,0.734,0.96
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,180,2.725,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.247,0.884,1.043
1,male,180,4.695,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.32,2.384,1.339
1,male,90,3.05,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.188,1.484,0.727
1,male,135,2.547,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.239,0.734,1.023
1,male,0,1.646,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,90,3.136,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.21,1.184,1.091
1,male,0,1.646,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,180,3.971,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.27,2.084,0.966
1,male,90,3.91,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.205,2.234,0.819
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,135,3.951,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.274,2.234,0.792
1,male,45,2.389,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.153,0.884,0.701
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,180,3.553,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.304,1.784,0.814
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,45,2.572,same,same,1,0,0,model,[0 1 0],0.0,2,0.551,0.141,0.884,0.896
1,male,0,1.646,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,90,2.93,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.196,1.034,1.049
1,male,180,3.007,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.288,1.034,1.134
1,male,90,2.796,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.214,1.184,0.747
1,male,90,2.409,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.196,0.734,0.928
1,male,45,1.926,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.14,0.434,0.801
1,male,180,4.795,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.307,2.534,1.303
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,45,2.728,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.15,1.184,0.743
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,3.148,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.241,1.334,0.922
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,180,5.274,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.232,3.284,1.107
1,male,45,2.685,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.151,1.184,0.699
1,male,45,2.284,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.135,0.734,0.763
1,male,180,3.308,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.335,1.184,1.238
1,male,135,2.462,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.212,0.734,0.964
1,male,45,2.772,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.138,0.884,1.149
1,male,45,2.372,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.129,0.734,0.858
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,180,3.315,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.244,1.484,1.035
1,male,180,3.394,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.339,1.334,1.07
1,male,90,2.9,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.182,1.184,0.883
1,male,135,4.424,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.274,2.234,1.264
1,male,135,3.973,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.234,2.234,0.854
1,male,180,4.396,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.28,2.384,1.081
1,male,180,4.857,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.278,3.134,0.794
1,male,45,2.339,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.137,0.734,0.817
1,male,135,6.046,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.272,4.334,0.789
1,male,135,3.852,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.243,1.784,1.174
1,male,135,6.895,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.242,5.234,0.767
1,male,180,4.778,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.302,2.534,1.291
1,male,90,3.254,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.164,1.484,0.954
1,male,180,3.806,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.282,1.634,1.239
1,male,135,2.658,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.181,1.034,0.892
1,male,45,2.089,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.144,0.584,0.81
1,male,90,2.223,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.185,0.584,0.903
1,male,135,7.066,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.254,5.384,0.776
1,male,90,2.425,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.201,0.734,0.938
1,male,45,2.628,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.154,0.884,0.939
1,male,135,3.604,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.223,1.784,0.946
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,4.164,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.225,2.534,0.754
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,45,3.571,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.164,1.784,0.972
1,male,90,2.313,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.167,0.734,0.861
1,male,45,2.3,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.142,0.734,0.773
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,180,3.637,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.352,1.784,0.85
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,3.516,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.283,1.784,0.798
1,male,180,4.248,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.272,2.534,0.79
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,180,4.549,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.28,2.384,1.233
1,male,135,3.369,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.235,1.334,1.15
1,male,90,3.133,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.178,1.484,0.87
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,90,2.84,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.182,1.184,0.873
1,male,90,2.68,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.148,1.184,0.697
1,male,90,2.195,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.177,0.584,0.883
1,male,45,3.669,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.152,1.934,0.932
1,male,90,3.014,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.168,1.484,0.711
1,male,180,3.145,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.284,1.184,1.125
1,male,180,2.783,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.219,1.034,0.979
1,male,90,2.749,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.159,1.184,0.755
1,male,45,2.341,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.158,0.734,0.798
1,male,90,3.009,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.178,1.184,0.995
1,male,135,3.733,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.212,1.784,1.085
1,male,135,2.597,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.254,0.734,1.058
1,male,90,3.699,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.201,1.784,1.063
1,male,90,2.96,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.206,1.184,0.919
1,male,90,2.426,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.201,0.734,0.939
